Time, ProductionCenter, WorkersCount, BufferCount
143.0, Производственный центр №4, 0, 3
143.0, Производственный центр №5, 0, 4
144.0, Производственный центр №1, 2, 378
144.0, Производственный центр №2, 2, 3
144.0, Производственный центр №3, 2, 1
144.0, Производственный центр №4, 0, 3
144.0, Производственный центр №5, 0, 6
145.0, Производственный центр №1, 2, 377
145.0, Производственный центр №2, 2, 3
145.0, Производственный центр №3, 0, 1
145.0, Производственный центр №4, 2, 4
145.0, Производственный центр №5, 0, 4
146.0, Производственный центр №1, 2, 376
146.0, Производственный центр №2, 2, 3
146.0, Производственный центр №3, 0, 1
146.0, Производственный центр №4, 2, 5
